['id','birthday','','height']
['1','1982-4-28','96',"68"]
['2','1982-03-04','293',"67"]
['3','1953-10-15','207',"67"]
['4','1962-05-28','315',"67"]
['5','1962-03-19','330',"53"]
['6','1965-12-03','192',"52"]
['7','1981-12-07','175',"5'"]
['8','1988-07-05','235',"50"]
['9','1988-03-23','345',"54"]
['10','1948-04-06','80',"53"]
['11','1990-09-10','117',"48"]
['12','1972-06-30','347',"63"]
['13','1971-10-06','185',"68"]
['14','1986-10-15','325',"48"]
['15','1984-7-15','294',"49"]
['16','1960-1-28','274',"51"]
['17','1953-03-25','307',"47"]
['18','1954-06-08','131',"67"]
['19','1984-01-06','170',"510"]
['20','1951-02-12','199',"62"]
['21','1990-03-06','112',"64"]
['22','1960-05-22','281',"53"]
['23','1961-06-01','244',"68"]
['24','1940-04-25','146',"55"]
['25','1944-12-31','325',"411"]
['26','1962-05-24','267',"55"]
['27','1954-06-29','289',"56"]
['28','1955-10-19','87',"64"]
['29','1979-07-17','321',"48"]
['30','1965-02-11','134',"6'"]
['31','1975-04-03','297',"6'8"]
['32','1981-04-22','202',"51"]
['33','1979-06-06','322',"511"]
['34','1947-10-30','312',"53"]
['35','1983-01-12','238',"64"]
['36','1974-11-06','81',"611"]
['37','1974-03-06','329',"54"]
['38','1949-05-31','251',"60"]
['39','1967-07-05','264',"47"]
['40','1987-01-27','115',"57"]
['41','1967-07-01','83',"4'11"]
['42','1968-01-26','228',"57"]
['43','1944-12-27','284',"63"]
['44','1966-08-27','227',"6'"]
['45','1978-11-02','93',"57"]
['46','1961-11-26','82',"47"]
['47','1957-06-03','202',"58"]
['48','1987-10-30','315',"410"]
['49','1940-02-05','312',"57"]
['50','1980-05-02','106',"62"]
['51','1973-10-05','154',"48"]
['52','1940-05-25','251',"48"]
['53','1942-08-31','139',"61"]
['54','1978-06-12','331',"511"]
['55','1946-03-27','330',"56"]
['56','1943-03-20','99',"59"]
['57','1962-11-16','285',"48"]
['58','1949-07-29','234',"411"]
['59','1962-03-12','192',"53"]
['60','1974-01-09','253',"65"]
['61','1988-10-05','205',"410"]
['62','1964-04-26','140',"68"]
['63','1981-08-25','257',"49"]
['64','1944-08-06','338',"6'0"]
['65','1939-01-07','254-',"65"]
['66','1946-09-21','208',"63"]
['67','1953-12-04','130',"410"]
['68','1980-06-24','270',"49"]
['69','1944-01-20','260',"66"]
['70','1955-09-25','160',"66"]
['71','1940-11-14','112',"62"]
['72','1964-10-28','83',"67"]
['73','1990-08-21','326',"66"]
['74','1947-12-11','239',"49"]
['75','1943-02-27','348',"68"]
['76','1946-08-14','250',"56"]
['77','1985-07-07','272',"56"]
['78','1946-11-16','309',"59"]
['79','1954-12-31','247',"410"]
['80','1954-04-25','83',"61"]
['81','1960-02-14','192',"61"]
['82','1954-05-25','237',"57"]
['83','1964-08-18','260',"510"]
['84','1983-07-08','212',"58"]
['85','1968-12-13','281',"49"]
['86','1972-07-28','154',"51"]
['87','1982-09-03','296',"55"]
['88','1950-04-27','163',"410"]
['89','1990-02-12','212',"62"]
['90','1947-03-08','82',"65"]
['91','1977-05-14','117',"55"]
['92','1967-07-04','212',"59"]
['93','1955-11-24','219',"68"]
['94','1969-10-23','166',"63"]
['95','1968-04-27','295',"62"]
['96','1965-02-27','219',"53"]
['97','1974-12-20','316',"53"]
['98','1968-02-21','324',"410"]
['99','1976-06-08','111',"54"]
['100','1966-02-22','284',"65"]
